1. The old car broke down in the car park.
1 The _ _ _ _ 3 det _ _
2 old _ _ _ _ 3 amod _ _
3 car _ _ _ _ 4 nsubj _ _
4 broke _ _ _ _ 0 root _ _
5 down _ _ _ _ 4 prt _ _
6 in _ _ _ _ 4 prep _ _
7 the _ _ _ _ 9 det _ _
8 car _ _ _ _ 9 compound _ _
9 park _ _ _ _ 6 pobj _ _
10 . _ _ _ _ 4 punct _ _

2. At least two men broke in and stole my TV.
1 At _ _ _ _ 3 quantmod _ _
2 least _ _ _ _ 1 mwe _ _
3 two _ _ _ _ 4 num _ _
4 men _ _ _ _ 5 nsubj _ _
5 broke _ _ _ _ 0 root _ _
6 in _ _ _ _ 5 prt _ _
7 and _ _ _ _ 5 cc _ _
8 stole _ _ _ _ 5 conj _ _
9 my _ _ _ _ 10 poss _ _
10 TV _ _ _ _ 8 dobj _ _
11 . _ _ _ _ 5 punct _ _

3. The horses were broken in and ridden in two weeks.
1 The _ _ _ _ 2 det _ _
2 horses _ _ _ _ 4 nsubjpass _ _
3 were _ _ _ _ 4 auxpass _ _
4 broken _ _ _ _ 0 root _ _
5 in _ _ _ _ 4 prt _ _
6 and _ _ _ _ 4 cc _ _
7 ridden _ _ _ _ 4 conj _ _
8 in _ _ _ _ 4 prep _ _
9 two _ _ _ _ 10 num _ _
10 weeks _ _ _ _ 8 pobj _ _
11 . _ _ _ _ 4 punct _ _

7. It was my aunt’s car which we sold at auction last year in February.
1 It _ _ _ _ 6 nsubj _ _
2 was _ _ _ _ 6 cop _ _
3 my _ _ _ _ 4 poss _ _
4 aunt _ _ _ _ 6 poss _ _
5 ‘s _ _ _ _ 4 possessive _ _
6 car _ _ _ _ 0 root _ _
7 which _ _ _ _ 9 dobj _ _
8 we _ _ _ _ 9 nsubj _ _
9 sold _ _ _ _ 6 relcl _ _
10 at _ _ _ _ 9 prep _ _
11 auction _ _ _ _ 10 pobj _ _
12 last _ _ _ _ 13 amod _ _
13 year _ _ _ _ 9 tmod _ _
14 in _ _ _ _ 9 prep _ _
15 February _ _ _ _ 14 pobj _ _
16 . _ _ _ _ 6 punct _ _

8. The only rabbit that I ever liked was eaten by my parents one summer.
1 The _ _ _ _ 3 det _ _
2 only _ _ _ _ 3 amod _ _
3 rabbit _ _ _ _ 9 nsubjpass_ _
4 that _ _ _ _ 7 dobj _ _
5 I _ _ _ _ 7 nsubj _ _
6 ever _ _ _ _ 7 advmod_ _
7 liked _ _ _ _ 3 relcl _ _
8 was _ _ _ _ 9 auxpass_ _
9 eaten _ _ _ _ 0 root _ _
10 by _ _ _ _ 12 prep _ _
